date,product,country,impressions
5/7/2019,Batman,az,2
5/7/2019,Batman,ba,26
5/7/2019,Batman,ly,0
5/30/2019,Batman,cz,62
5/30/2019,Batman,pk,96
5/30/2019,Batman,ge,6
5/30/2019,Batman,lk,58
5/30/2019,Batman,xk,0
5/30/2019,Batman,by,5
6/6/2019,Batman,unknown,380
6/6/2019,Batman,rw,7
6/6/2019,Batman,zw,36
6/6/2019,Batman,pw,6
5/6/2019,Batman,de,29088
5/6/2019,Batman,ee,22
5/6/2019,Batman,ye,4
6/19/2019,Batman,tr,121
6/19/2019,Batman,ba,20
6/19/2019,Batman,sk,16
6/19/2019,Batman,lb,40
6/19/2019,Batman,tz,0
6/19/2019,Batman,td,1
5/1/2019,Batman,ge,7
5/1/2019,Batman,sn,12
5/27/2019,Batman,no,2202
5/27/2019,Batman,ml,18
6/18/2019,Batman,rs,42
6/18/2019,Batman,gu,4
6/4/2019,Batman,id,48376
6/4/2019,Batman,sl,2
5/20/2019,Batman,sc,1
6/15/2019,Batman,tw,13818
6/15/2019,Batman,cm,23
6/15/2019,Batman,pf,2
6/8/2019,Batman,bj,1
6/25/2019,Batman,jm,67
6/25/2019,Batman,sm,5
5/3/2019,Batman,ec,154
5/3/2019,Batman,tg,6
5/3/2019,Batman,pg,2
5/3/2019,Batman,si,29
5/3/2019,Batman,mn,6
6/27/2019,Batman,fr,51110
6/27/2019,Batman,my,17411
6/27/2019,Batman,nl,5289
6/27/2019,Batman,et,83
6/27/2019,Batman,za,49
6/27/2019,Batman,kg,1
6/27/2019,Batman,re,0
5/13/2019,Batman,iq,32
5/13/2019,Batman,hk,0
5/13/2019,Batman,cm,9
5/13/2019,Batman,bb,2
5/13/2019,Batman,mg,34
6/9/2019,Batman,us,175339
6/10/2019,Batman,it,26911
6/10/2019,Batman,th,26078
6/10/2019,Batman,lb,46
6/9/2019,Batman,cn,9
6/10/2019,Batman,bw,2
5/25/2019,Batman,th,22062
5/25/2019,Batman,jm,58
5/25/2019,Batman,gu,1
5/25/2019,Batman,mq,2
5/25/2019,Batman,mw,4
6/11/2019,Batman,et,67
6/11/2019,Batman,al,35
6/11/2019,Batman,empty_value,0
6/11/2019,Batman,pg,19
6/11/2019,Batman,bh,18
6/24/2019,Batman,nz,43
6/24/2019,Batman,ug,18
6/24/2019,Batman,qa,54
6/24/2019,Batman,so,1
5/2/2019,Batman,pt,110
5/2/2019,Batman,zz,0
5/1/2019,Batman,at,3634
5/2/2019,Batman,gd,2
6/16/2019,Batman,ni,8
6/16/2019,Batman,li,2
5/10/2019,Batman,es,29693
5/10/2019,Batman,ph,47202
5/10/2019,Batman,no,1605
5/10/2019,Batman,dz,505
5/10/2019,Batman,tt,7
5/10/2019,Batman,md,0
6/26/2019,Batman,uy,298
6/26/2019,Batman,se,2342
6/26/2019,Batman,sn,35
6/26/2019,Batman,ci,0
6/26/2019,Batman,ga,10
6/26/2019,Batman,gu,1
5/12/2019,Batman,vn,19271
5/12/2019,Batman,bz,107
5/12/2019,Batman,empty_value,0
5/12/2019,Batman,ygb,0
5/12/2019,Batman,tz,0
5/12/2019,Batman,gf,0
5/9/2019,Batman,eu,0
5/9/2019,Batman,tr,112
5/9/2019,Batman,py,26
5/21/2019,Batman,py,120
5/18/2019,Batman,gr,84
5/18/2019,Batman,af,30
5/16/2019,Batman,cz,50
5/16/2019,Batman,na,5
5/16/2019,Batman,ci,0
5/16/2019,Batman,as,1
6/22/2019,Batman,se,1904
6/22/2019,Batman,sn,10
5/26/2019,Batman,be,267
5/26/2019,Batman,tl,10
5/26/2019,Batman,lv,42
6/23/2019,Batman,ro,220
6/23/2019,Batman,mt,32
6/23/2019,Batman,pg,1
6/1/2019,Batman,jp,393
6/1/2019,Batman,it,20483
6/1/2019,Batman,np,86
6/1/2019,Batman,ge,3
6/1/2019,Batman,om,10
6/1/2019,Batman,ne,11
5/11/2019,Batman,us,198534
5/11/2019,Batman,do,70
5/4/2019,Batman,us,205819
5/4/2019,Batman,cm,11
5/17/2019,Batman,,0
5/17/2019,Batman,nl,6480
5/17/2019,Batman,tn,2897
5/17/2019,Batman,gp,8
5/17/2019,Batman,tg,6
5/17/2019,Batman,dj,1
6/3/2019,Batman,iq,40
6/3/2019,Batman,il,38
6/14/2019,Batman,pl,366
6/14/2019,Batman,ae,169
6/14/2019,Batman,gt,80
5/31/2019,Batman,ar,32390
5/31/2019,Batman,pe,27309
5/31/2019,Batman,be,258
5/31/2019,Batman,il,37
5/31/2019,Batman,ml,1
6/13/2019,Batman,gb,51278
6/13/2019,Batman,za,46
6/13/2019,Batman,hk,0
7/1/2019,Batman,ga,4
7/1/2019,Batman,so,3
5/24/2019,Batman,ec,282
5/24/2019,Batman,nc,2
5/24/2019,Batman,eg,80
5/24/2019,Batman,af,15
5/24/2019,Batman,mn,10
5/24/2019,Batman,sr,3
